Listing Title,Listing SEO Title,Listing Email,Listing URL,Listing Address,Listing Address2,Listing Country,Listing Country Abbrevation,Listing Region,Listing Region Abbrevation,Listing State,Listing State Abbrevation,Listing City,Listing City Abbrevation,Listing Neighborhood,Listing Neighborhood Abbrevation,Listing Postal Code,Listing Latitude,Listing Longitude,Listing Phone,Listing Short Description,Listing Long Description,Listing SEO Description,Listing Keywords,Listing Renewal Data,Listing Status,Listing Level,Listing Category 1,Listing Category 2,Listing Category 3,Listing Category 4,Listing Category 5,Listing Template,Listing DB id,Custom ID,Account Username,Account Password,Account Contact First Name,Account Contact Last Name,Account Contact Company,Account Contact Address,Account Contact Address2,Account Contact Country,Account Contact State,Account Contact City,Account Contact Postal Code,Account Contact Phone,Account Contact Email,Account Contact URL
SKY LOUNGE,SKY LOUNGE Baton Rouge,skylounge4564@gmail.com,SkyloungeBR.com,4564 Bennington Ave,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70808,,,(225) 960-1526,"Sky Lounge is Baton Rouge's newest upscale bar. Offering great vibes, drinks, and delicious food.","Sky Lounge is Baton Rouge's newest upscale bar. Offering great vibes, drinks, and delicious food. Located on 4564 Bennington Avenue, Baton Rouge, LA, 70808.",,,12/31/2050,Active,Silver,Nightlife->Bars->Lounges,Restaurants->Southern,Nightlife->Bars->Cocktail Bars,,,New Listing Template,,,,,,,,,,,,,,,,
Backstreet Lounge,Backstreet Lounge Baton Rouge,,,845 Madeline Ct,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70815,,,(225) 923-3775,,,,,12/31/2050,Active,Silver,Nightlife->Bars->Pubs,Nightlife->Karaoke,,,,New Listing Template,,,,,,,,,,,,,,,,
BR.cade,BR.cade Baton Rouge,events@brcade.com,https://brcade.com/,2963 Government St,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70806,,,,Mid-city Baton Rouge's Adult Arcade and Bar.,"BR.cade is a Baton Rouge, Louisiana arcade & bar. Play all of your favorite classic arcade games â and leave the quarters at home! BR.cade video arcade games are always on free play â just pay cover at the door, and youâre in for the entire night. Free entry during happy hours Monday - Friday. BR.cade is an adult drinking environment â under no circumstances are minors allowed.",,,12/31/2050,Active,Silver,Nightlife->Bars,Arts & Entertainment->Arcades,,,,New Listing Template,,,,,,,,,,,,,,,,
The River Room,The River Room Baton Rouge,info@riverroombatonrouge.com,https://www.riverroombatonrouge.com,222 Laurel St,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70801,,,(225) 400-9627,"Website for River Room, potentially a restaurant or event venue.","The website appears to be for a venue called River Room, offering menus, specials, and event booking. The site also includes a map.",,,12/31/2050,Active,Silver,Nightlife->Bars->Lounges,Nightlife->Bars->Wine Bars,,,,New Listing Template,,,,,,,,,,,,,,,,
Hayride Scandal,Hayride Scandal Baton Rouge,hello@hayridescandal.com,https://www.hayridescandal.com/,5110 Corporate Blvd,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70808,,,(225) 400-9677,A new twist on legendary libations.,"Hidden away amid the bustle of Baton Rouge is Hayride Scandal.

A living, loving tribute to the heyday of mayhem. To our loyal patrons, weâre known for our intoxicating atmosphere, eclectic music, compelling beer list and tantalizing menu.

But, what weâre famous for is our whiskey-forward craft cocktails

Culled from original recipes and reimagined for the modern-day palate.",,,12/31/2050,Active,Silver,Nightlife->Bars->Cocktail Bars,Nightlife->Bars->Whiskey Bars,,,,New Listing Template,,,,,,,,,,,,,,,,
Radio Bar,Radio Bar Baton Rouge,,https://theradiobar.com/,3079 Government St,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70806,,,(225) 810-6487,"The Radio Bar is a bar located in Baton Rouge, Louisiana.",,,,12/31/2050,Active,Silver,Nightlife->Bars,,,,,New Listing Template,,,,,,,,,,,,,,,,
Royal Hookah Lounge & Bar,Royal Hookah Lounge & Bar Baton Rouge,info@royalhookah.com,https://royalhookah.com/,5830 S Sherwood Forest Blvd,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70816,,,(225) 465-3830,"Royal Hookah Lounge & Bar is located at 5830 S Sherwood Forest Blvd in Baton Rouge, LA. They can be contacted at (225) 465-3830 or info@royalhookah.com. They are open Monday-Saturday from 8:00pm â 2:00am and Sunday from 6:00pm â 12am.","The page provides contact information for Royal Hookah Lounge & Bar, including their address, phone number, email, and hours of operation. It also includes a contact form for inquiries.",,,12/31/2050,Active,Silver,Nightlife->Bars->Hookah Bars,,,,,New Listing Template,,,,,,,,,,,,,,,,
Silly Rabbit Comedy Club,Silly Rabbit Comedy Club Baton Rouge,contact@sillyrabbitcomedyclub.com,https://www.sillyrabbitcomedyclub.com,9945 Airline Hwy,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70816,,,(225) 278-7107,Where laughter is the best medicine,"The Silly Rabbit Comedy Club hosts upcoming events, open mic nights and private events. They also sell merch.",,,12/31/2050,Active,Silver,Nightlife->Comedy Clubs,Nightlife->Karaoke,,,,New Listing Template,,,,,,,,,,,,,,,,
The R&B Cocktail Lounge,The R&B Cocktail Lounge Baton Rouge,,,3151 College Dr,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70808,,,(225) 223-6385,,,,,12/31/2050,Active,Silver,Nightlife->Bars->Cocktail Bars,,,,,New Listing Template,,,,,,,,,,,,,,,,
Olive Or Twist,Olive Or Twist Baton Rouge,info@oliveortwistbr.com,https://www.oliveortwistbr.com/,7248 Perkins Rd,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70810,,,(225) 456-2188,"Contact information for Olive or Twist: Bar + Kitchen, including email, phone number, and physical address.","The contact page provides an email form for inquiries, the general business email (info@oliveortwistbr.com), the owner's email (josh@oliveortwistbr.com), phone number (225-456-2188), and physical address (2122 Perkins Palm Ave. Suite A, Baton Rouge, LA 70808). It also lists the business hours, brunch hours, and happy hour times.",,,12/31/2050,Active,Silver,Restaurants->New American,Restaurants->Southern,Nightlife->Bars->Cocktail Bars,,,New Listing Template,,,,,,,,,,,,,,,,
Mother’s Lounge,Mother’s Lounge Baton Rouge,,,143 3rd St,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70801,,,(225) 256-4438,,,,,12/31/2050,Active,Silver,Nightlife->Bars->Gay Bars,Event Planning & Services->Venues & Event Spaces,,,,New Listing Template,,,,,,,,,,,,,,,,
LA Threaux,LA Threaux Gonzales,info@lathreaux.com,https://www.lathreaux.com/,39359 Airline Plaza Pl,,United States,US,,,Louisiana,LA,Gonzales,,,,70737,,,(225) 647-7302,"Axe throwing venue in Gonzales, LA offering a fun and safe axe-perience with electronic scoring systems and BYOB.","LA Threaux offers axe throwing in a Prohibition-themed venue. They host special events like birthday parties and bachelorette parties, offering custom packages. Dedicated ""axe""perts ensure a smooth and fun experience while prioritizing safety. They are located in Gonzales, Louisiana and welcome walk-ins. They also offer membership options.",,,12/31/2050,Active,Silver,Active Life->Axe Throwing,Nightlife,Arts & Entertainment,,,New Listing Template,,,,,,,,,,,,,,,,
Dark 30,Dark 30 Baton Rouge,,https://dark-30-wine-craftcocktail-bar.wheree.com/,151 3rd St,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70802,,,,Sophisticated wine & craft cocktail bar in downtown Baton Rouge with an intimate ambiance and extensive selection of spirits.,"Dark 30 Wine & CraftCocktail Bar emerges as a sophisticated yet inviting oasis in the heart of downtown Baton Rouge, seamlessly blending timeless elegance with a vibrant atmosphere. This establishment captivates patrons with its dim lighting and thoughtfully curated interior design, creating an intimate ambiance ideal for unwinding after a long day. The extensive selection of spirits, including crafted cocktails and rare wines, caters to diverse palates, setting Dark 30 apart from typical bars. Unparalleled customer service further enhances the experience, making it a preferred destination for both seasoned connoisseurs and those seeking a refreshing evening out. The inviting and knowledgeable staff contribute to a satisfying journey through the world of luxury libations. The bar frequently hosts wine tastings, adding an educational twist to the experience. With its evolving drink selection and a commitment to exceptional service, Dark 30 continues to attract a loyal clientele, many of whom have made it part of their weekly routine. Located conveniently in downtown Baton Rouge, it boasts a clean, vibrant atmosphere, perfect for date nights or casual gatherings. The establishment's unique vibe and friendly bartenders create an environment where patrons feel valued and appreciated, making Dark 30 a hidden gem worth exploring.",,,12/31/2050,Active,Silver,Nightlife->Bars,,,,,New Listing Template,,,,,,,,,,,,,,,,
The Bulldog,The Bulldog Baton Rouge,,https://www.thebulldog.bar/contact-3-1-2/,4385 Perkins Rd,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70808,,,(225) 303-9400,"Contact information for The Bulldog Baton Rouge, including address, phone number, bar hours, and kitchen hours. Includes links to their Facebook, Untappd, and Instagram pages.","THE BULLDOG BATON ROUGE
4385 Perkins Rd.
Baton Rouge, LA 70808
225-303-9400

BAR HOURS:
Mon-Sat 11:30 a.m. - 2:00 a.m.
Sun 11:30 a.m. - 12:00 a.m.

KITCHEN HOURS:
Sun-Tue 11:30 a.m. - 10:00 p.m.
Wed-Sat 11:30 a.m. - 12:00 p.m.

over 21 only",,,12/31/2050,Active,Silver,Nightlife->Bars->Sports Bars,Restaurants->Burgers,Restaurants->Sandwiches,,,New Listing Template,,,,,,,,,,,,,,,,
Coop's on 621,Coop's on 621 Gonzales,,https://www.facebook.com/coopson621/,38058 Hwy 621,,United States,US,,,Louisiana,LA,Gonzales,,,,70737,,,(225) 313-3008,The good time your momma warned you about!,,,,12/31/2050,Active,Silver,Nightlife->Bars,,,,,New Listing Template,,,,,,,,,,,,,,,,
Fred's in Tigerland,Fred's in Tigerland Baton Rouge,fredsintigerland@gmail.com,https://www.fredsintigerland.com/,1184 Bob Pettit Blvd,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70820,,,(225) 478-2345,Featured in BuzzFeed's Top College Bars in America,,,,12/31/2050,Active,Silver,Nightlife->Dance Clubs,Nightlife->Bars->Sports Bars,Arts & Entertainment->Music Venues,,,New Listing Template,,,,,,,,,,,,,,,,
The Main Lobby,The Main Lobby Baton Rouge,,https://www.themainlobbybr.com/,668 Main St,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70801,,,(225) 444-5939,"The Main Lobby is an exquisite bar nestled in the heart of downtown Baton Rouge, Louisiana, with a hotel lobby-themed establishment.","Welcome to The Main Lobby, an exquisite bar nestled in the heart of downtown Baton Rouge, Louisiana. Immerse yourself in the unique ambiance of our hotel lobby-themed establishment, where the spirit of hospitality is woven into every detail.

Discover the warmth and elegance of our indoor bar and lounge area, meticulously designed to evoke the charm of a luxurious hotel foyer. As you ascend to our rooftop bar, be captivated by breathtaking views of downtown Baton Rouge, creating a backdrop of urban allure for your unforgettable experiences.

At The Main Lobby, we transcend the ordinary, offering a curated blend of classic and contemporary. Our commitment to excellence is reflected not only in our crafted cocktails and delectable offerings but also in the seamless fusion of nostalgia and modernity that defines our space.

Join us on a journey where each visit is a celebration of the art of hospitality. The Main Lobby invites you to indulge in the sophistication of our themed setting and create lasting memories in the heart of Baton Rouge. Welcome to a place where every sip, every moment, is an invitation to savor the essence of refined living. Cheers to the extraordinary at The Main Lobby!",,,12/31/2050,Active,Silver,Nightlife->Bars->Cocktail Bars,,,,,New Listing Template,,,,,,,,,,,,,,,,
City Bar Baton Rouge,City Bar Baton Rouge Baton Rouge,blake@citybarbatonrouge.com,https://www.225liveevents.com/venue/detail/City%20Bar%20Baton%20Rouge/45,333 3rd St,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70801,,,(225) 223-9622,"Clean and fancy place to hang out
City Bar is a popular establishment in Baton Rouge
Experience the vibrant nightlife of Baton Rouge at City Bar
Come out to citybar and dance all night with DJ Swerve
Chad Hughes says he is moving the business to 333 Third Street","City Bar is a popular establishment in Baton Rouge, LA, known for its vibrant atmosphere and wide selection of drinks. Patrons can enjoy a casual night out
Experience the vibrant nightlife of Baton Rouge at City Bar, where dancing, live music, and local flavors come together for an unforgettable evening.
The popular Cajun-themed downtown bar, will soon be on the move. The bar will shift into the building located at 333 3rd St., which is currently inhabited
Come out to citybar and dance all night with DJ Swerve! Our doors open at 9:30 and we are eager to see all of your faces! See you there!
Chad Hughes says he is moving the business to 333 Third Street, which houses his City Bar Baton Rouge and is the former home of his Rio Tacos",,,12/31/2050,Active,Silver,Nightlife->Bars,Nightlife->Dance Clubs,,,,New Listing Template,,,,,,,,,,,,,,,,
The Jefferson Lounge,The Jefferson Lounge Baton Rouge,catmama10339@gmail.com,https://www.facebook.com/dive.bar.br.jeffersonlounge/,4336 Floynell Dr,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70809,,,(225) 291-6773,A eclectic bar you don't want your coworkers to know...,"The Jefferson Lounge, Baton Rouge, Louisiana. 1225 likes Â· 3 talking about this Â· 6084 were here. A eclectic bar you don't want your coworkers to know...",,,12/31/2050,Active,Silver,Nightlife->Bars->Dive Bars,,,,,New Listing Template,,,,,,,,,,,,,,,,
The Vineyard,The Vineyard Baton Rouge,,,11914 Coursey Blvd,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70816,,,,,,,,12/31/2050,Active,Silver,Restaurants,Nightlife->Bars->Dive Bars,,,,New Listing Template,,,,,,,,,,,,,,,,
Dead Poet,Dead Poet Baton Rouge,,,623 E Boyd Dr,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70808,,,(225) 666-2010,,,,,12/31/2050,Active,Silver,Nightlife->Bars,Arts & Entertainment->Music Venues,,,,New Listing Template,,,,,,,,,,,,,,,,
Tiger Tavern,Tiger Tavern Gonzales,,https://www.instagram.com/tiger_tavern/,14505 Hwy 44,,United States,US,,,Louisiana,LA,Gonzales,,,,70737,,,(225) 622-3719,"Locally owned military bar with drive-thru service, non-smoking, no cover charge, 21+ only. Features 9 daiquiri machines and 52 craft beer taps.","Tiger Tavern is a locally owned military bar located in Gonzales, Louisiana. It is a non-smoking establishment with no cover charge and is restricted to patrons 21 years of age and older. The bar offers a unique drive-thru service. Inside, customers can enjoy a wide variety of beverages, including daiquiris from 9 different machines and a selection of 52 craft beers on tap. The tavern regularly hosts events such as karaoke, live music, and trivia nights.",,,12/31/2050,Active,Silver,Nightlife->Bars->Sports Bars,,,,,New Listing Template,,,,,,,,,,,,,,,,
Bianka Restaurants & Lounge,Bianka Restaurants & Lounge Baton Rouge,bianka@biankarestaurants.com,https://www.biankarestaurants.com/,11575 Coursey Blvd,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70816,,,(225) 408-8206,"Bianka Restaurants, your culinary home in Metairie and Baton Rouge, where food and community thrive. We focus on fresh ingredients and inspired recipes, offering a vibrant menu that blends traditional and modern flavors. More than just a dining spot, Bianka is a place for friends and family to enjoy great food and memorable.","Bianka Restaurants is a culinary destination with locations in Metairie and Baton Rouge. They offer a vibrant menu blending traditional and modern flavors, made with fresh ingredients. Besides the food, they offer premium hookah experience, handcrafted cocktails, fine wines, and premium spirits.",,,12/31/2050,Active,Silver,Nightlife->Bars->Hookah Bars,Restaurants->Soup,Nightlife->Bars->Cocktail Bars,,,New Listing Template,,,,,,,,,,,,,,,,
Big D's Daiquiris,Big D's Daiquiris Denham Springs,doubleddaiq@aol.com,https://www.facebook.com/pages/Double%20%22D%22%20Daiquiris/127267330677039/,30614 La Hwy 16,,United States,US,,,Louisiana,LA,Denham Springs,,,,70726,,,(225) 665-3309,Sports bar specializing in daiquiris.,The daiquiri selection is extensive and full bar for other preferences. Daytime drive thru or night spot to pull up a seat at the bar.,,,12/31/2050,Active,Silver,Nightlife->Bars->Sports Bars,,,,,New Listing Template,,,,,,,,,,,,,,,,
Bayou Bar,Bayou Bar Gonzales,,https://m.facebook.com/bayoubar1947/,12496 Airline Hwy,,United States,US,,,Louisiana,LA,Gonzales,,,,70737,,,(225) 644-2327,"Bayou Bar is a dive bar located in Gonzales, Louisiana.","Bayou Bar is a dive bar that has a Facebook page with 1.3K likes and 1.6K followers. The bar is located at 12496 Airline Hwy, Gonzales, LA, United States, Louisiana. The phone number is (225) 644-2327. The price range is $$. 92% of reviewers recommend this location.",,,12/31/2050,Active,Silver,Nightlife->Bars->Dive Bars,,,,,New Listing Template,,,,,,,,,,,,,,,,
Boomerang Comedy Theater,Boomerang Comedy Theater Baton Rouge,Travis@BoomerangComedy.com,https://www.boomerangcomedy.com/,455 Hearthstone Dr,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70806,,,(706) 504-1732,Live Improv & Stand Up Comedy Shows in Baton Rouge.,Boomerang Comedy Theater in Baton Rouge offers live comedy shows. Looking for a not-so-ordinary night out? Want to lift your spirits with some belly laughs? Check out the talented funny people on stage at Boomerang Comedy Theater in Baton Rouge!,,,12/31/2050,Active,Silver,Nightlife->Comedy Clubs,Arts & Entertainment->Performing Arts,,,,New Listing Template,,,,,,,,,,,,,,,,
The Colonel’s Club,The Colonel’s Club Baton Rouge,,,2857 Perkins Rd,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70808,,,(225) 381-1514,,,,,12/31/2050,Active,Silver,Restaurants->American,Nightlife->Bars,Restaurants->Breakfast & Brunch,,,New Listing Template,,,,,,,,,,,,,,,,
Mike's In Tigerland,Mike's In Tigerland Baton Rouge,,https://www.yelp.com/biz/mikes-in-tigerland-baton-rouge,1125 Bob Petit,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70820,,,(225) 448-2524,"Mike's In Tigerland is a sports bar located at 1125 Bob Petit, Baton Rouge, LA 70820.",,,,12/31/2050,Active,Silver,Nightlife->Bars->Sports Bars,,,,,New Listing Template,,,,,,,,,,,,,,,,
The Fat Cat Saloon,The Fat Cat Saloon Prairieville,,,17326 Airline Hwy,,United States,US,,,Louisiana,LA,Prairieville,,,,70769,,,(225) 673-9826,,,,,12/31/2050,Active,Silver,Nightlife->Bars,,,,,New Listing Template,,,,,,,,,,,,,,,,
Pelican to Mars: Pet Friendly Bar,Pelican to Mars: Pet Friendly Bar Baton Rouge,welcome@pelicantomars.com,https://pelicantomars.com/,2678 Government St,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70806,,,(225) 726-7142,"Pelican to Mars is a bar located in Baton Rouge, LA. It offers a wide selection of beers, tiki cocktails, and hosts events such as trivia nights, yoga, and a silent book club.","Pelican to Mars in Baton Rouge, LA, is a versatile venue offering a range of experiences. They have tailored events for all occasions and a happy hour from 3:00 PM to 7:00 PM. They are known for Rum forward - Craft Cocktails, Food truck and pop ups, Beer - Draft - Bottles - Cans - Craft Beer. Regular events include Let's Get Quizzical trivia night every Tuesday, Free Outdoor Yoga every Monday, and The Pelican to Mars Silent Book Club monthly on every third Wednesday. The venue also offers drinks to go and gift cards.",,,12/31/2050,Active,Silver,Nightlife->Bars->Cocktail Bars,Nightlife->Bars->Beer Bar,Food->Food Trucks,,,New Listing Template,,,,,,,,,,,,,,,,
The Vintage,The Vintage Baton Rouge,laurel@thevintagebr.com,https://www.thevintagebr.com/,333 Laurel St,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70802,,,(225) 444-5799,"Coffee, Beignets, Bubbles, Bites.","The Vintage Restaurant in Baton Rouge offers coffee, beignets, wines, bubbles, and bites. They focus on providing an experience where people can relax, enjoy themselves, and connect with friends. They also offer local small-batch crafted coffees, beignet mix, t-shirts, mugs and tumblers.",,,12/31/2050,Active,Silver,Restaurants->Cafes,Nightlife->Bars->Wine Bars,Nightlife->Bars->Cocktail Bars,,,New Listing Template,,,,,,,,,,,,,,,,
Club Raggs,Club Raggs Baton Rouge,ClubRaggs225@gmail.com,clubraggs.com,2605 Plank Rd,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70805,,,(225) 355-5557,"A popular nightlife destination in Baton Rouge, LA, offering a vibrant atmosphere for patrons to socialize and enjoy music and drinks.","Club Raggs is a popular nightlife destination in Baton Rouge, LA, offering a vibrant atmosphere for patrons to socialize and enjoy music and drinks.",,,12/31/2050,Active,Silver,Nightlife->Bars,,,,,New Listing Template,,,,,,,,,,,,,,,,
Topgolf,Topgolf Baton Rouge,,https://topgolf.com/us/baton-rouge/,10955 N Mall Dr,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70809,,,(225) 372-3725,"Topgolf Baton Rouge is the premier entertainment destination in Baton Rouge, LA. Enjoy year-round comfort in our hitting bays with cooling fans in the summer and heated bays in the winter, all with HDTVs in every bay and throughout our sports bar and restaurant.","Topgolf Baton Rouge offers a climate-controlled environment with hitting bays, HDTVs, a sports bar and restaurant, Toptracer games, a rooftop terrace, private event spaces, and golf lessons.",,,12/31/2050,Active,Silver,Active Life->Golf,Restaurants->New American,Nightlife->Bars->Sports Bars,,,New Listing Template,,,,,,,,,,,,,,,,
Dreams,Dreams Baton Rouge,clubdreams2083@yahoo.com,https://www.facebook.com/people/Club-Dreams-Baton-Rouge/100068695973962/,2083 Dallas Dr,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70806,,,(225) 926-1720,Nightclub/Cocktail Lounge/Dance Club. Serves alcohol. Hosts live events.,"Nightclub/Cocktail Lounge/Dance Club. Serves alcohol. Hosts live events. Known as ""King of The Party Scene"" and the Kings of Monday Night Madness!!",,,12/31/2050,Active,Silver,Nightlife,,,,,New Listing Template,,,,,,,,,,,,,,,,
Bogie's Bar,Bogie's Bar Baton Rouge,bogiesbar@gmail.com,https://www.bogiesbr.us/,705 E Boyd Dr,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70808,,,(225) 256-4024,"Bogie's Bar aims to provide one of the most fun, safe and memorable college bar atmospheres in Baton Rouge and to be a staple of the college experience.","Let's be honest, life is all about balance. Ying and Yang. You can't have one without the other. You can't have a Wednesday night, Vyvanse fueled cram fest for an exam without a Thursday night at Bogie's.  Without that balance, life falls apart. Let us be the the much needed release and distraction from the more boring aspects of college life.  We're here to provide one of the most fun, safe and memorable college bar atmospheres in Baton Rouge. We've become a staple of the college experience and look forward to  continuing in that tradition for years to come!",,,12/31/2050,Active,Silver,Nightlife->Bars->Dive Bars,,,,,New Listing Template,,,,,,,,,,,,,,,,
Laguna Beach Daiquiris,Laguna Beach Daiquiris Denham Springs,Lagunabeachdaq@gmail.com,https://www.facebook.com/lagunabeachdaiquiris,8028 Florida Blvd,,United States,US,,,Louisiana,LA,Denham Springs,,,,70726,,,(225) 667-3738,"Live Entertainment, Pool, Darts, Fully Stocked Bar",,,,12/31/2050,Active,Silver,Nightlife->Bars,Nightlife->Pool Halls,Nightlife->Karaoke,,,New Listing Template,,,,,,,,,,,,,,,,
Uncle Earl's ,Uncle Earl's  Baton Rouge,events@uncleearls.com,https://uncleearls.com/,3753 Perkins Rd,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70808,,,(225) 256-2531,"Upscale bar offering an extensive drink menu, live entertainment and special events. Perfect for a night out, watching a game, or hosting an event.","Uncle Earlâs is the perfect spot for a night out, to catch a game on the patio or venue for your next event. Offering an extensive bar menu, live entertainment and special events in an upscale environment.",,,12/31/2050,Active,Silver,Nightlife->Bars,Event Planning & Services->Venues & Event Spaces,,,,New Listing Template,,,,,,,,,,,,,,,,
13 social,13 social Baton Rouge,,https://13social.com/,350 3rd St,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70801,,,,13 Social is a dive bar located in Downtown Baton Rouge.,"13 Social is a dive bar located Downtown that offers happy hour specials such as $6 mules & margaritas from 4:00 PM to 9:00 PM, Monday through Sunday.",,,12/31/2050,Active,Silver,Nightlife->Bars,,,,,New Listing Template,,,,,,,,,,,,,,,,
Mid City Beer Garden,Mid City Beer Garden Baton Rouge,,https://www.midcitybeergarden.com/,3808 Government St,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70806,,,(225) 910-8169,"50+ Beers on Tap, Specialty Frozen Drinks and Craft Cocktails alongside Classic Bar Fare, Fresh bites and Locally.","Mid City Beer Garden in Baton Rouge, LA. 50+ Beers on Tap, Specialty Frozen Drinks and Craft Cocktails alongside Classic Bar Fare, Fresh bites and Locally inspired Eats in the Heart of Mid City.",,,12/31/2050,Active,Silver,Nightlife->Beer Gardens,,,,,New Listing Template,,,,,,,,,,,,,,,,
Edge,Edge Baton Rouge,LBR.GuestExperience@pennentertainment.com,https://www.lbatonrouge.com/entertainment/edge/,777 Lauberge Ave,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70820,,,(866) 261-7777,"Socialize in style and experience live entertainment at this upscale social music lounge. Edge is the perfect setting to enjoy a late nightcap, chill with friends or unwind after a long day.","Edge is a social music lounge at L'Auberge Baton Rouge. It offers live entertainment and is suitable for late night drinks or relaxing with friends. The venue has weekly events like Service Industry Night on Sundays with drink specials, Karaoke every Sunday evening, and On the Edge: The Ultimate Music Challenge every Thursday. Live entertainment is featured all weekend. The page also lists upcoming entertainment events with dates, times and descriptions, such as On the Edge: The Ultimate Music Challenge on April 10, After 8 on April 11, DJ Atomic on April 12, and Karaoke Party on April 13. There is no cover charge for any of the listed events.  Must be 21+ to enter. Hours: Thursday & Sunday: 5 p.m. - 12 a.m., Friday & Saturday: 5 p.m. - 3 a.m.",,,12/31/2050,Active,Silver,Nightlife->Bars,Nightlife->Karaoke,,,,New Listing Template,,,,,,,,,,,,,,,,
Jubans Restaurant and Bar,Jubans Restaurant and Bar Baton Rouge,,https://www.jubans.com/,3739 Perkins Rd,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70808,,,(225) 346-8422,"Contact Jubans restaurant via phone, physical address or contact form.","The contact page provides a contact form, phone number (225-346-8422), and physical address (3739 Perkins Road, Baton Rouge, Louisiana 70808) for Jubans Restaurant. It also lists lunch, dinner, and brunch hours.",,,12/31/2050,Active,Silver,Restaurants->Cajun/Creole,Event Planning & Services->Venues & Event Spaces,Nightlife->Bars,,,New Listing Template,,,,,,,,,,,,,,,,
BLDG5,BLDG5 Baton Rouge,hello@bldg5.com,https://bldg5.com/,2805 Kalurah St,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70808,,,(225) 256-2287,"Contact form for comments, questions, or concerns regarding reservations, live music bookings, or career opportunities.","Comments, questions or concerns in regards to reservations, live music bookings or career opportunities? Fill out the form below or email hello@bldg5.com to contact us and weâll be in touch as soon as we can.",,,12/31/2050,Active,Silver,Restaurants->New American,Nightlife->Bars->Cocktail Bars,Event Planning & Services->Venues & Event Spaces,,,New Listing Template,,,,,,,,,,,,,,,,
Passé,Passé Baton Rouge,,,101 St Ferdinand St,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70802,,,(225) 224-0022,,,,,12/31/2050,Active,Silver,Nightlife->Bars,Restaurants->Cajun/Creole,Restaurants->Breakfast & Brunch,,,New Listing Template,,,,,,,,,,,,,,,,
Varsity Theatre,Varsity Theatre Baton Rouge,,https://varsitytheatre.com/,3353 Highland Rd,,United States,US,,,Louisiana,LA,Baton Rouge,,,,70802,,,(225) 383-7018,"Originally operated as a film theatre, The Varsity Theatre has been a staple in Baton Rouge since the 1930s. Reopened as Baton Rougeâs premiere live music venue in 1990 playing host to both local and nationally touring artists.","The Varsity first opened its doors in 1937, filling a variety of roles in the film-theatre industry until itâs closure in 1988. We reopened as Baton Rougeâs premiere live music venue in 1990 playing host to both local and nationally touring artists.

The Varsity is also an ideal space to host your next social, private, or corporate event. The Varsity Theatre is an ideal venue for weddings and receptions, birthday, cocktail, and graduation parties, award ceremonies and more. Our stage is sized and equipped to accommodate both local and touring acts, DJ's, or presenters with our professional sound and light rig and available projection screens. We can help fulfill your catering needs with food from the The Chimes or coordinate with an outside caterer of your choosing.",,,12/31/2050,Active,Silver,Event Planning & Services->Venues & Event Spaces,Arts & Entertainment->Music Venues,,,,New Listing Template,,,,,,,,,,,,,,,,
